point_id,longitude,latitude,selection_method,inside_nanjing_boundary,inside_5km_buffer,inside_n32e118_hgt,gee_dem_m,local_hgt_m,absolute_difference_m,slope_degree,aspect_degree,technical_result,notes
OV-01,118.40,32.05,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,170,173,3,15,148,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-02,119.00,32.50,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,29,28,1,2,91,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-03,118.95,32.05,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,28,28,0,3,271,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-04,118.60,32.55,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,42,43,1,3,73,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-05,118.70,32.25,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,7,7,0,3,35,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-06,118.65,32.05,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,5,4,1,1,1,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-07,118.95,32.30,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,13,13,0,1,1,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-08,118.80,32.45,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,31,31,0,2,28,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-09,118.75,32.60,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,44,44,0,3,305,PASS,Technical overlap sample; not a team-confirmed fixed check point
OV-10,118.80,32.10,0.05-degree candidate grid plus farthest-point spacing,TRUE,TRUE,TRUE,14,14,0,3,305,PASS,Technical overlap sample; not a team-confirmed fixed check point

