valid_time,temperature_2m_c,relative_humidity_2m_pct,precipitation_previous_hour_mm,wind_speed_10m_m_s,wind_gusts_10m_previous_hour_max_m_s,wind_from_10m_deg,wind_from_10m_compass,wind_to_10m_deg,wind_to_10m_compass,source_type,missing_fields
2026-09-13T00:00,20.6,82,0.0,1.43,3.1,78,E,258.0,W,historical_model_or_reanalysis_output,
2026-09-13T01:00,20.3,84,0.0,1.58,3.2,72,E,252.0,W,historical_model_or_reanalysis_output,
2026-09-13T02:00,20.3,85,0.0,1.59,3.2,66,NE,246.0,SW,historical_model_or_reanalysis_output,
2026-09-13T03:00,19.6,89,0.0,1.37,3.1,66,NE,246.0,SW,historical_model_or_reanalysis_output,
2026-09-13T04:00,19.4,90,0.0,1.51,3.0,82,E,262.0,W,historical_model_or_reanalysis_output,
2026-09-13T05:00,19.1,92,0.0,1.67,3.4,99,E,279.0,W,historical_model_or_reanalysis_output,
2026-09-13T06:00,19.0,92,0.0,1.15,3.3,92,E,272.0,W,historical_model_or_reanalysis_output,
2026-09-13T07:00,19.9,88,0.0,1.07,2.8,79,E,259.0,W,historical_model_or_reanalysis_output,
2026-09-13T08:00,22.0,82,0.0,1.2,3.2,90,E,270.0,W,historical_model_or_reanalysis_output,
2026-09-13T09:00,23.7,77,0.0,1.36,4.4,118,SE,298.0,NW,historical_model_or_reanalysis_output,
2026-09-13T10:00,25.3,66,0.0,1.03,4.5,113,SE,293.0,NW,historical_model_or_reanalysis_output,
2026-09-13T11:00,26.2,60,0.0,0.76,4.2,82,E,262.0,W,historical_model_or_reanalysis_output,
2026-09-13T12:00,26.9,57,0.0,0.67,3.8,48,NE,228.0,SW,historical_model_or_reanalysis_output,
2026-09-13T13:00,27.6,54,0.0,0.96,4.1,43,NE,223.0,SW,historical_model_or_reanalysis_output,
2026-09-13T14:00,28.0,53,0.0,1.27,4.3,26,NE,206.0,SW,historical_model_or_reanalysis_output,
2026-09-13T15:00,27.7,54,0.1,1.9,5.4,18,N,198.0,S,historical_model_or_reanalysis_output,
2026-09-13T16:00,27.1,56,0.0,2.75,6.6,16,N,196.0,S,historical_model_or_reanalysis_output,
2026-09-13T17:00,25.8,63,0.0,3.59,7.6,19,N,199.0,S,historical_model_or_reanalysis_output,
2026-09-13T18:00,24.1,72,0.0,3.0,8.1,26,NE,206.0,SW,historical_model_or_reanalysis_output,
2026-09-13T19:00,23.2,77,0.0,2.69,6.2,43,NE,223.0,SW,historical_model_or_reanalysis_output,
